a,d,fl,fw,gh,inl,inw,k,mt,pl,pw,sh,sl,sw,uf,freq,s11,gain,bandwidth
30.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.94753,-21.756833005867,10.821415367141523,0.09725857470986554
30.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.94852,-20.703527181771,10.770757983600586
30.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.95149,-19.756651470206,10.663969104157083
30.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.98911,-18.925057984665,11.030139675020209
30.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.9901,-19.229337807351,11.034274479896846
30.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.99208,-19.286408195945,11.021720202902
30.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.99505,-18.508849889882,10.905136183704
30.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.37531,-15.493653167941,9.65969177875389,0.02784293637015367
30.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,1.0,-13.911742294356,10.520634915302
30.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,1.0,-13.493397699555,10.41326286583
30.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,1.0,-12.716098041489,10.37808902392
30.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,350.0,90.0,400.0,460.0,0.8,0.38818,-16.859123172956,9.709951929897377,0.02868508250264229
30.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,326.0,90.0,400.0,460.0,0.8,0.39313,-20.117468614352,9.741149719678381,0.030885954321366538
30.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,303.0,90.0,400.0,460.0,0.8,0.39907,-24.250376943712,9.721084931597948,0.03218438710481164
30.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,280.0,90.0,400.0,460.0,0.8,0.40501,-33.158950364605,9.708004006218681,0.03324031834363339
